Fecha,Hora,Producto,ISIN,Bolsa,Número,,Precio,,Valor local,,Valor,Tipo de cambio,,Comisión,,Total,ID Orden
07-07-2020,15:44,NIKOLA CORP,US6541101050,NDQ,70,USD,43.9000,USD,-3073.00,EUR,-2722.67,1.1287,EUR,-0.75,EUR,-2723.42,9d50919a-6c1e-4bc5-8ed2-37e096051e37
06-07-2020,17:15,AUDAX RENOVABLES SA,ES0136463017,MAD,2000,EUR,1.6560,EUR,-3312.00,EUR,-3312.00,,EUR,-3.66,EUR,-3315.66,5fe31f94-d3ad-4d28-a218-fdbe4d8883a9
06-07-2020,10:49,PHARMA MAR SA,ES0169501030,MAD,-215,EUR,9.2500,EUR,1988.75,EUR,1988.75,,EUR,-0.99,EUR,1987.76,f2baaf98-cabc-4f0c-946a-b0bfd593ce51
06-07-2020,10:48,PHARMA MAR SA,ES0169501030,MAD,-135,EUR,9.2500,EUR,1248.75,EUR,1248.75,,EUR,-2.62,EUR,1246.13,f2baaf98-cabc-4f0c-946a-b0bfd593ce51
06-07-2020,09:09,MONCLER,IT0004965148,MIL,100,EUR,34.4000,EUR,-3440.00,EUR,-3440.00,,EUR,-5.72,EUR,-3445.72,1646e409-730f-47f8-84fb-50e5d357c72c
03-07-2020,11:53,CELLNEX TELECOM SAU,ES0105066007,MAD,-55,EUR,55.8000,EUR,3069.00,EUR,3069.00,,EUR,-3.53,EUR,3065.47,d16a7379-21f8-46f5-8374-dc758473b182
03-07-2020,11:08,PHARMA MAR SA,ES0169501030,MAD,350,EUR,9.1800,EUR,-3213.00,EUR,-3213.00,,EUR,-3.61,EUR,-3216.61,654e269e-b6c0-4e43-8126-45b6bf350eb8
03-07-2020,10:20,PHARMA MAR SA,ES0169501030,MAD,-350,EUR,9.0500,EUR,3167.50,EUR,3167.50,,EUR,-3.58,EUR,3163.92,87080a61-d913-4fe3-950e-65f90a2a8bf4
02-07-2020,21:48,NIKOLA CORP,US6541101050,NDQ,30,USD,55.5000,USD,-1665.00,EUR,-1483.33,1.1225,EUR,-0.61,EUR,-1483.94,df301080-1fe1-4808-a2a7-49c3f5ed2c28
02-07-2020,15:47,NIKOLA CORP,US6541101050,NDQ,40,USD,61.8000,USD,-2472.00,EUR,-2195.82,1.1258,EUR,-0.64,EUR,-2196.46,0f799ea7-2fa7-4325-b986-5afd28a7c64b
02-07-2020,13:18,PHARMA MAR SA,ES0169501030,MAD,250,EUR,8.1000,EUR,-2025.00,EUR,-2025.00,,EUR,-3.01,EUR,-2028.01,dbaf81ee-ba68-48d7-889c-507a99622670
02-07-2020,11:27,ACCIONA,ES0125220311,MAD,-40,EUR,90.8500,EUR,3634.00,EUR,3634.00,,EUR,-3.82,EUR,3630.18,07d9c6bd-c3c4-46ac-ba43-24ea0e0d2c42
01-07-2020,09:27,ACCIONA,ES0125220311,MAD,40,EUR,86.5000,EUR,-3460.00,EUR,-3460.00,,EUR,-3.73,EUR,-3463.73,963b7545-078c-45b3-a6a0-fdaa3eb1668b
30-06-2020,16:29,TESLA MOTORS INC. - C,US88160R1014,NDQ,-6,USD,1045.0000,USD,6270.00,EUR,5584.64,1.1227,EUR,-0.52,EUR,5584.12,87f0217e-beb7-4621-b2af-306ac3e64e80
24-06-2020,16:04,NIKOLA CORP,US6541101050,NDQ,40,USD,70.5000,USD,-2820.00,EUR,-2505.83,1.1254,EUR,-0.64,EUR,-2506.47,5d01e40d-ac01-4538-99e2-6006b8c6da14
24-06-2020,10:15,INDITEX,ES0148396007,MAD,-100,EUR,24.0100,EUR,2401.00,EUR,2401.00,,EUR,-3.20,EUR,2397.80,160f13a7-2253-4711-9b48-5c1e028fa491
24-06-2020,09:05,CELLNEX TELECOM SAU,ES0105066007,MAD,55,EUR,53.0000,EUR,-2915.00,EUR,-2915.00,,EUR,-3.46,EUR,-2918.46,ad2d95e5-fdef-4694-966f-c1ec51dd8c0f
23-06-2020,21:44,NIKOLA CORP,US6541101050,NDQ,-40,USD,75.5000,USD,3020.00,EUR,2667.54,1.1321,EUR,-0.64,EUR,2666.90,ebea088f-2d9b-447c-aa3f-e449a9bd4e6e
19-06-2020,19:47,NIKOLA CORP,US6541101050,NDQ,60,USD,64.9000,USD,-3894.00,EUR,-3482.75,1.1181,EUR,-0.71,EUR,-3483.46,e6c5a8c5-71c4-412c-a583-afd3d4e86c4c
19-06-2020,17:25,"AIRTIFICIAL INTELLIGENCE STRUCTURES, S.A.",ES0152768612,MAD,-50000,EUR,0.0609,EUR,3045.00,EUR,3045.00,,EUR,-3.52,EUR,3041.48,85df33de-f222-4890-a0d2-9b4589e77f7a
19-06-2020,15:39,"AIRTIFICIAL INTELLIGENCE STRUCTURES, S.A.",ES0152768612,MAD,8300,EUR,0.0596,EUR,-494.68,EUR,-494.68,,EUR,-0.25,EUR,-494.93,fb46fa78-357b-45f7-b88a-a74d04c2e2c3
19-06-2020,15:38,"AIRTIFICIAL INTELLIGENCE STRUCTURES, S.A.",ES0152768612,MAD,41700,EUR,0.0596,EUR,-2485.32,EUR,-2485.32,,EUR,-3.24,EUR,-2488.56,fb46fa78-357b-45f7-b88a-a74d04c2e2c3
19-06-2020,15:35,PHARMA MAR SA,ES0169501030,MAD,-500,EUR,7.5400,EUR,3770.00,EUR,3770.00,,EUR,-3.89,EUR,3766.11,b48069c3-b0ed-4c5b-bbb4-a043845d300c
18-06-2020,15:50,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,250,EUR,8.0400,EUR,-2010.00,EUR,-2010.00,,EUR,-3.01,EUR,-2013.01,465c3798-4b2c-4266-a9c5-af5a0b6b4d10
17-06-2020,09:09,INDITEX,ES0148396007,MAD,100,EUR,24.7500,EUR,-2475.00,EUR,-2475.00,,EUR,-3.24,EUR,-2478.24,a63e9191-3db0-4f56-99f4-bbb608a09667
16-06-2020,15:33,NIKOLA CORP,US6541101050,NDQ,50,USD,70.0000,USD,-3500.00,EUR,-3105.67,1.1270,EUR,-0.68,EUR,-3106.35,c46b7f04-bf8c-430a-bf4a-6233e665b6cf
16-06-2020,15:05,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,-300,EUR,8.3100,EUR,2493.00,EUR,2493.00,,EUR,-3.25,EUR,2489.75,54cfdd81-c43a-4baa-ab36-4ad993e8d10e
16-06-2020,10:38,ACCIONA,ES0125220311,MAD,-30,EUR,94.0000,EUR,2820.00,EUR,2820.00,,EUR,-3.41,EUR,2816.59,18b59daa-b4aa-49f1-b585-b38e68fc7353
15-06-2020,09:05,NOVO NORDISK B A/S,DK0060534915,OMK,50,DKK,426.0000,DKK,-21300.00,EUR,-2859.89,7.4478,EUR,-5.43,EUR,-2865.32,3a865a9e-8c41-4a92-a838-a6fdeeeb4e0a
12-06-2020,17:21,TESLA MOTORS INC. - C,US88160R1014,NDQ,3,USD,932.0000,USD,-2796.00,EUR,-2489.15,1.1233,EUR,-0.51,EUR,-2489.66,f89a89c2-2ac1-4728-8f4e-58f1f273d899
12-06-2020,09:44,INT.AIRL.GRP,ES0177542018,MAD,-766,EUR,3.0150,EUR,2309.49,EUR,2309.49,,EUR,-1.15,EUR,2308.34,fe616daf-83ab-4b5b-ad58-83871e444a6f
